City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tolanaro,-25.0319,46.9987,74.16,81,0,10.58,MG,1732331318
1,naze,28.3667,129.4833,66.81,56,3,12.64,JP,1732331319
2,ayr,55.4627,-4.6339,35.58,94,100,13.8,GB,1732331285
3,al ghayzah,16.2079,52.176,74.62,76,83,5.01,YE,1732331321
4,utrik,11.2278,169.8474,82.96,79,36,20.15,MH,1732331323
5,salym,60.0625,71.4789,20.35,88,30,8.39,RU,1732331324
6,grytviken,-54.2811,-36.5092,42.33,69,52,3.18,GS,1732331325
7,anadyr,64.75,177.4833,28.9,80,100,11.18,RU,1732331326
8,vadso,70.0744,29.7487,32.16,86,100,28.77,NO,1732331327
9,tiksi,71.6872,128.8694,0.45,97,100,2.91,RU,1732331329
10,coquimbo,-29.9533,-71.3436,56.93,94,0,3.44,CL,1732331155
11,edinburgh of the seven seas,-37.0676,-12.3116,52.9,74,70,21.18,SH,1732331331
12,yellowknife,62.456,-114.3525,1.56,84,98,8.99,CA,1732331332
13,carnarvon,-24.8667,113.6333,84.0,42,0,15.52,AU,1732331333
14,goniri,11.4833,12.3144,63.64,25,33,6.35,NG,1732331334
15,port-aux-francais,-49.35,70.2167,39.11,83,100,14.56,TF,1732331336
16,gamay,12.3854,125.2979,84.79,70,82,7.85,PH,1732331337
17,ramnagar,29.4,79.1167,63.55,50,1,2.37,IN,1732331338
18,zbarazh,49.6636,25.7762,27.97,94,100,17.36,UA,1732331339
19,blackmans bay,-43.0167,147.3167,77.74,51,100,1.01,AU,1732331340
20,aasiaat,68.7098,-52.8699,3.15,80,84,11.95,GL,1732331342
21,rumphi,-11.0186,33.8575,66.88,74,11,3.27,MW,1732331343
22,olonkinbyen,70.9221,-8.7187,24.33,58,98,14.5,SJ,1732331344
23,wailua homesteads,22.0669,-159.378,75.99,69,0,9.22,US,1732331345
24,east london,-33.0153,27.9116,69.87,75,5,15.39,ZA,1732331346
25,bull savanna,17.8868,-77.5902,75.15,70,68,2.64,JM,1732331348
26,antonio enes,-16.2325,39.9086,76.06,81,18,5.53,MZ,1732331349
27,albany,42.6001,-73.9662,35.8,80,98,1.01,US,1732331326
28,ilulissat,69.2167,-51.1,8.22,67,90,8.48,GL,1732331351
29,longyearbyen,78.2186,15.6401,19.24,68,40,12.66,SJ,1732331352
30,puerto natales,-51.7236,-72.4875,41.5,73,99,15.59,CL,1732331354
31,tehran,35.6944,51.4215,49.98,43,0,4.61,IR,1732331067
32,san patricio,28.017,-97.5169,58.95,57,3,7.56,US,1732331357
33,adamstown,-25.066,-130.1015,73.51,87,100,14.45,PN,1732331358
34,happy valley-goose bay,53.3168,-60.3315,28.71,100,100,4.61,CA,1732331360
35,flying fish cove,-10.4217,105.6791,82.06,80,100,15.08,CX,1732331361
36,puerto ayora,-0.7393,-90.3518,72.55,86,29,7.0,EC,1732331362
37,sao gabriel da cachoeira,-0.1303,-67.0892,73.72,99,100,1.3,BR,1732331184
38,assai,-23.3733,-50.8414,71.46,69,68,10.8,BR,1732331366
39,la passe,45.5549,-0.8967,43.48,80,86,17.81,FR,1732331367
40,atafu village,-8.5421,-172.5159,83.98,72,53,16.06,TK,1732331368
41,waitangi,-43.9535,-176.5597,52.83,78,60,15.99,NZ,1732331369
42,colonia,50.9333,6.95,36.25,87,0,5.75,DE,1732331370
43,avarua,-21.2078,-159.775,78.85,65,95,13.8,CK,1732331372
44,bredasdorp,-34.5322,20.0403,58.53,82,100,5.03,ZA,1732331373
45,papatowai,-46.5619,169.4708,51.91,55,78,12.39,NZ,1732331374
46,maturin,9.75,-63.1767,80.44,100,72,5.75,VE,1732331375
47,ghat,24.9647,10.1728,61.59,40,10,6.24,LY,1732331376
